time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,diffuse_radiation,direct_normal_irradiance,precipitation,dew_point_2m,cloud_cover
2016-01-01 00:00:00+00:00,24.8935,65.53387,12.979984,270.0,116.0,398.43362,0.0,17.9935,46.0
2016-01-01 01:00:00+00:00,25.8935,60.596565,11.966953,470.0,188.0,478.43863,0.0,17.6935,46.0
2016-01-01 02:00:00+00:00,27.043499,55.21167,13.039754,654.0,223.0,565.45044,0.0,17.293499,22.0
2016-01-01 03:00:00+00:00,28.2435,50.343372,14.764389,853.0,196.0,735.5876,0.0,16.9435,7.0
2016-01-01 04:00:00+00:00,29.293499,45.889618,17.057314,1031.0,150.0,905.15533,0.0,16.4435,2.0
2016-01-01 05:00:00+00:00,30.043499,42.570827,20.12461,1069.0,147.0,924.5773,0.0,15.9435,0.0
2016-01-01 06:00:00+00:00,30.293499,41.299095,23.510508,1029.0,143.0,919.8234,0.0,15.6935,0.0
2016-01-01 07:00:00+00:00,30.2435,41.285347,26.33911,914.0,137.0,889.35065,0.0,15.643499,0.0
2016-01-01 08:00:00+00:00,29.7435,42.082455,27.908709,741.0,126.0,837.1488,0.0,15.4935,0.0
2016-01-01 09:00:00+00:00,28.9935,44.226814,28.820242,526.0,109.0,750.5553,0.0,15.5935,0.0
2016-01-01 10:00:00+00:00,27.8935,48.522594,26.836306,291.0,85.0,590.7339,0.0,16.043499,0.0
2016-01-01 11:00:00+00:00,26.6435,54.93812,26.552288,80.0,38.0,296.18423,0.0,16.8435,4.0
2016-01-01 12:00:00+00:00,25.6935,60.93383,25.96496,0.0,0.0,0.0,0.0,17.5935,25.0
2016-01-01 13:00:00+00:00,25.0935,65.370186,24.40046,0.0,0.0,0.0,0.0,18.1435,42.0
2016-01-01 14:00:00+00:00,24.5935,69.27756,22.406927,0.0,0.0,0.0,0.0,18.5935,38.0
2016-01-01 15:00:00+00:00,24.1935,72.07503,21.900904,0.0,0.0,0.0,0.0,18.8435,14.0
2016-01-01 16:00:00+00:00,23.7435,74.74697,21.413193,0.0,0.0,0.0,0.0,18.9935,25.0
2016-01-01 17:00:00+00:00,23.3935,76.57877,21.434364,0.0,0.0,0.0,0.0,19.043499,18.0
2016-01-01 18:00:00+00:00,23.1935,77.7513,21.611996,0.0,0.0,0.0,0.0,19.0935,11.0
2016-01-01 19:00:00+00:00,22.9435,77.23014,20.991426,0.0,0.0,0.0,0.0,18.7435,23.0
2016-01-01 20:00:00+00:00,22.8935,77.22261,20.316889,0.0,0.0,0.0,0.0,18.6935,21.0
2016-01-01 21:00:00+00:00,22.7435,77.684494,19.33639,0.0,0.0,0.0,0.0,18.6435,26.0
2016-01-01 22:00:00+00:00,22.7435,76.95857,15.696165,3.0,3.0,0.0,0.0,18.4935,16.0
2016-01-01 23:00:00+00:00,23.7435,70.20944,15.696165,101.0,52.0,296.83905,0.0,17.9935,29.0
2016-01-02 00:00:00+00:00,24.8435,64.29734,16.676977,279.0,115.0,426.57947,0.0,17.6435,30.0
2016-01-02 01:00:00+00:00,25.9435,59.28474,15.141414,486.0,153.0,566.6471,0.0,17.3935,11.0
2016-01-02 02:00:00+00:00,26.9935,55.1993,15.315873,703.0,222.0,632.1703,0.0,17.2435,4.0
2016-01-02 03:00:00+00:00,28.293499,50.038254,16.394829,928.0,140.0,883.1458,0.0,16.8935,0.0
2016-01-02 04:00:00+00:00,29.4435,46.076077,17.727943,1031.0,147.0,908.62616,0.0,16.6435,0.0
2016-01-02 05:00:00+00:00,30.3435,43.062176,19.245697,1063.0,146.0,919.508,0.0,16.3935,0.0
2016-01-02 06:00:00+00:00,30.9935,41.096684,22.42427,1027.0,143.0,917.2732,0.0,16.2435,0.0
2016-01-02 07:00:00+00:00,31.4435,40.184654,26.27753,912.0,139.0,883.8959,0.0,16.293499,0.0
2016-01-02 08:00:00+00:00,30.9935,41.88888,28.291512,736.0,133.0,819.5421,0.0,16.543499,0.0
2016-01-02 09:00:00+00:00,30.1935,44.69391,28.576382,525.0,110.0,745.21045,0.0,16.8435,0.0
2016-01-02 10:00:00+00:00,28.9935,48.813095,27.276978,291.0,85.0,588.4772,0.0,17.1435,0.0
2016-01-02 11:00:00+00:00,27.543499,54.470158,27.055143,81.0,39.0,294.77594,0.0,17.543499,0.0
2016-01-02 12:00:00+00:00,26.293499,59.36664,26.178707,0.0,0.0,0.0,0.0,17.7435,1.0
